File Name,Asteroid Name,NASA,Wiki
1950DA_ProgradeModel.wf,29075 1950 DA prograde,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=29075,https://en.wikipedia.org/wiki/(29075)_1950_DA
1950DA_RetrogradeModel.wf,29075 1950 DA retrograde,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=29075,https://en.wikipedia.org/wiki/(29075)_1950_DA
1994CC_nominal.mod.wf,136617 1994 CC Alpha (primary),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1994%20CC;orb=1,https://en.wikipedia.org/wiki/(136617)_1994_CC
1996hw1.obj,8567 1996 HW1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1996%20HW1,
2008ev5.obj,2008 EV5,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2008%20EV5;orb=1,https://en.wikipedia.org/wiki/(341843)_2008_EV5
bacchus.obj,2063 Bacchus,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1977%20HB,https://en.wikipedia.org/wiki/2063_Bacchus
betulia.obj,1580 Betulia,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1950%20KA,https://en.wikipedia.org/wiki/1580_Betulia
castalia.obj,4769 Castalia (1989 PB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=4769,https://en.wikipedia.org/wiki/4769_Castalia
ce26.obj,2002 CE26 Alpha (primary),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002%20CE26&orb=1,
geographos.obj,1620 Geographos,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1620,https://en.wikipedia.org/wiki/1620_Geographos
golevka.obj,6489 Golevka,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=6489,https://en.wikipedia.org/wiki/6489_Golevka
hirestoutatis.obj,4179 Toutatis high-resolution,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=4179,https://en.wikipedia.org/wiki/4179_Toutatis
kw4a.obj,66391 1999 KW4 Alpha (primary),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1999+KW4&orb=1,https://en.wikipedia.org/wiki/66391_Moshup
kw4b.obj,66391 1999 KW4 Beta (secondary),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1999+KW4&orb=1,https://en.wikipedia.org/wiki/66391_Moshup
Mithra.v1.PA.prograde.mod.obj,4486 Mithra,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=4486,https://en.wikipedia.org/wiki/4486_Mithra
ml14.obj,52760 1998 ML14,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=52760;orb=1,https://en.wikipedia.org/wiki/(52760)_1998_ML14
Nereus_alt1.mod.wf,4660 Nereus,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=4660,https://en.wikipedia.org/wiki/4660_Nereus
rashalom.obj,2100 Ra-Shalom,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2100,https://en.wikipedia.org/wiki/2100_Ra-Shalom
sf36.v.mod.wf,25143 Itokawa smooth model,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=25143;orb=1,https://en.wikipedia.org/wiki/25143_Itokawa
sk.obj,10115 1992 SK,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=10115,https://en.wikipedia.org/wiki/(10115)_1992_SK
toutatis.obj,4179 Toutatis,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=4179,https://en.wikipedia.org/wiki/4179_Toutatis
wt24.obj,33342 1998 WT24,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=1998%20WT24&orb=1,https://en.wikipedia.org/wiki/(33342)_1998_WT24
yorp.obj,54509 YORP (2000 PH5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54509,https://en.wikipedia.org/wiki/54509_YORP
